,,,,,0,1,2,3,4
1:0,2,0 - 100,min-max,36500,"(0.042, 0.059)","(0.022, 0.031)","(0.029, 0.041)","(0.0, 0.0)","(493652.656, 528627.495)"
1:0,2,20 - 70,min-max,36500,"(0.12, 0.102)","(0.09, 0.083)","(0.103, 0.091)","(0.08, 0.063)","(1144382.171, 1051728.089)"
1:0,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(293883.316, 100783.642)"
1:0,2,60 - 70,min-max,36500,"(0.249, 0.114)","(0.116, 0.032)","(0.156, 0.049)","(0.129, 0.057)","(2403.17, 448.456)"
1:0,2,0 - 20,min-max,36500,"(0.083, 0.118)","(0.024, 0.034)","(0.037, 0.052)","(0.037, 0.052)","(47337.607, 8476.93)"
1:0,2,70 - 100,min-max,36500,"(0.122, 0.087)","(0.048, 0.034)","(0.068, 0.048)","(0.068, 0.048)","(799354.755, 148840.094)"
1:0,3,0 - 100,min-max,36500,"(0.093, 0.069)","(0.048, 0.034)","(0.062, 0.044)","(0.062, 0.044)","(1031014.894, 1283166.163)"
1:0,3,20 - 70,min-max,36500,"(0.124, 0.113)","(0.086, 0.077)","(0.102, 0.092)","(0.054, 0.039)","(636726.184, 406664.179)"
1:0,3,20 - 60,min-max,36500,"(0.12, 0.102)","(0.046, 0.033)","(0.064, 0.046)","(0.029, 0.041)","(1912070.532, 2158805.868)"
1:0,3,60 - 70,min-max,36500,"(0.104, 0.082)","(0.068, 0.054)","(0.082, 0.065)","(0.057, 0.04)","(3380.315, 1459.917)"
1:0,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(69767.686, 9898.741)"
1:0,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2509445.208, 953864.852)"
1:0.1,2,0 - 100,min-max,36500,"(0.042, 0.059)","(0.024, 0.034)","(0.03, 0.043)","(0.03, 0.043)","(10.222, 1.771)"
1:0.1,2,20 - 70,min-max,36500,"(0.222, 0.208)","(0.048, 0.034)","(0.075, 0.054)","(0.075, 0.054)","(6.666, 0.632)"
1:0.1,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.219, 1.078)"
1:0.1,2,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.993, 0.203)"
1:0.1,2,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.709, 0.004)"
1:0.1,2,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.714, 0.002)"
1:0.1,3,0 - 100,min-max,36500,"(0.55, 0.324)","(0.089, 0.031)","(0.143, 0.041)","(0.035, 0.05)","(9.487, 0.32)"
1:0.1,3,20 - 70,min-max,36500,"(0.067, 0.094)","(0.022, 0.031)","(0.033, 0.047)","(0.0, 0.0)","(8.969, 2.514)"
1:0.1,3,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(4.313, 0.583)"
1:0.1,3,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.59, 0.187)"
1:0.1,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.712, 0.003)"
1:0.1,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.713, 0.003)"
1:1,2,0 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.627, 0.135)"
1:1,2,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.446, 0.113)"
1:1,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.429, 0.15)"
1:1,2,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.893, 0.034)"
