Rs,Rj,Ra,Sj,Sa,Sb,Cj,Ca,Cb,Fc
54.821297,0.268207,0.989287,8.511213,9.955314,50.033894,8.186889,0.809228,0.842293,0.0
54.8213227091,0.2682069318,0.989286992,8.5112067712,9.9553099445,50.0338806412,8.1868881824,0.809229699,0.8422941979,0.0
54.821348534,0.2682068657,0.9892869825,8.5112005303,9.9553058126,50.033867229,8.1868873494,0.8092313858,0.8422953962,0.0
54.8213744753,0.2682068012,0.9892869715,8.5111942778,9.9553016049,50.0338537632,8.1868865012,0.8092330605,0.8422965947,0.0
54.8214005336,0.2682067382,0.9892869592,8.5111880141,9.9552973221,50.0338402433,8.1868856376,0.8092347231,0.8422977936,0.0
54.8214267094,0.2682066762,0.9892869458,8.5111817396,9.9552929647,50.0338266691,8.1868847587,0.8092363735,0.8422989928,0.0
54.8214530028,0.268206615,0.9892869313,8.5111754549,9.9552885333,50.0338130402,8.1868838645,0.8092380118,0.8423001923,0.0
54.8214794139,0.2682065546,0.9892869159,8.5111691602,9.9552840285,50.0337993562,8.1868829549,0.8092396379,0.8423013921,0.0
54.8215059428,0.2682064948,0.9892868997,8.5111628561,9.955279451,50.0337856169,8.1868820298,0.8092412518,0.8423025921,0.0
54.8215325893,0.2682064355,0.9892868827,8.5111565429,9.9552748013,50.033771822,8.1868810894,0.8092428536,0.8423037924,0.0
54.8215593533,0.2682063767,0.9892868651,8.5111502209,9.9552700801,50.033757971,8.1868801335,0.8092444433,0.8423049929,0.0
54.8215862343,0.2682063182,0.9892868469,8.5111438907,9.9552652879,50.0337440638,8.1868791621,0.8092460207,0.8423061937,0.0
54.8216132321,0.2682062601,0.9892868282,8.5111375525,9.9552604253,50.0337301,8.1868781753,0.809247586,0.8423073946,0.0
54.8216403462,0.2682062023,0.9892868091,8.5111312068,9.955255493,50.0337160793,8.1868771729,0.8092491391,0.8423085958,0.0
54.8216675762,0.2682061449,0.9892867895,8.5111248539,9.9552504915,50.0337020015,8.186876155,0.8092506799,0.8423097971,0.0
54.8216949213,0.2682060878,0.9892867696,8.5111184942,9.9552454215,50.0336878662,8.1868751216,0.8092522086,0.8423109985,0.0
54.8217223811,0.2682060309,0.9892867494,8.5111121281,9.9552402835,50.0336736732,8.1868740727,0.8092537251,0.8423122002,0.0
54.8217499549,0.2682059743,0.989286729,8.5111057559,9.9552350782,50.0336594221,8.1868730081,0.8092552294,0.8423134019,0.0
54.8217776419,0.2682059181,0.9892867083,8.5110993781,9.9552298062,50.0336451128,8.186871928,0.8092567214,0.8423146038,0.0
54.8218054416,0.2682058621,0.9892866874,8.5110929949,9.9552244681,50.033630745,8.1868708323,0.8092582013,0.8423158058,0.0
54.821833353,0.2682058063,0.9892866663,8.5110866069,9.9552190645,50.0336163183,8.1868697209,0.8092596689,0.8423170079,0.0
54.8218613754,0.2682057509,0.9892866451,8.5110802143,9.9552135961,50.0336018326,8.1868685939,0.8092611243,0.8423182101,0.0
54.821889508,0.2682056957,0.9892866238,8.5110738175,9.9552080634,50.0335872876,8.1868674513,0.8092625675,0.8423194124,0.0
54.8219177498,0.2682056409,0.9892866024,8.5110674169,9.9552024672,50.0335726831,8.1868662931,0.8092639985,0.8423206147,0.0
54.8219461001,0.2682055863,0.989286581,8.5110610128,9.955196808,50.0335580188,8.1868651192,0.8092654173,0.842321817,0.0
54.8219745579,0.268205532,0.9892865594,8.5110546057,9.9551910864,50.0335432944,8.1868639296,0.8092668239,0.8423230194,0.0
54.8220031223,0.268205478,0.9892865379,8.5110481958,9.9551853032,50.0335285099,8.1868627244,0.8092682183,0.8423242218,0.0
54.8220317924,0.2682054244,0.9892865163,8.5110417837,9.9551794589,50.0335136648,8.1868615035,0.8092696004,0.8423254242,0.0
54.8220605671,0.268205371,0.9892864947,8.5110353695,9.9551735541,50.0334987591,8.1868602669,0.8092709704,0.8423266265,0.0
54.8220894456,0.2682053179,0.9892864731,8.5110289538,9.9551675896,50.0334837925,8.1868590146,0.8092723282,0.8423278289,0.0
54.8221184267,0.2682052652,0.9892864515,8.5110225368,9.955161566,50.0334687648,8.1868577467,0.8092736738,0.8423290312,0.0
54.8221475096,0.2682052127,0.98928643,8.5110161189,9.9551554839,50.0334536758,8.186856463,0.8092750072,0.8423302335,0.0
54.8221766932,0.2682051606,0.9892864084,8.5110097005,9.9551493439,50.0334385253,8.1868551637,0.8092763284,0.8423314356,0.0
54.8222059764,0.2682051088,0.989286387,8.511003282,9.9551431467,50.0334233131,8.1868538487,0.8092776375,0.8423326378,0.0
54.8222353583,0.2682050574,0.9892863655,8.5109968637,9.9551368931,50.033408039,8.186852518,0.8092789344,0.8423338398,0.0
54.8222648377,0.2682050063,0.9892863441,8.5109904459,9.9551305835,50.0333927029,8.1868511717,0.8092802191,0.8423350417,0.0
54.8222944136,0.2682049555,0.9892863228,8.5109840291,9.9551242187,50.0333773046,8.1868498096,0.8092814917,0.8423362435,0.0
54.822324085,0.2682049051,0.9892863016,8.5109776136,9.9551177994,50.0333618438,8.1868484319,0.8092827522,0.8423374452,0.0
54.8223538506,0.268204855,0.9892862804,8.5109711998,9.9551113262,50.0333463205,8.1868470386,0.8092840005,0.8423386467,0.0
54.8223837095,0.2682048053,0.9892862593,8.5109647879,9.9551047998,50.0333307345,8.1868456296,0.8092852368,0.842339848,0.0
