,,,,,0,1,2,3,4
1:0,2,0 - 100,min-max,36500,"(0.042, 0.005)","(0.022, 0.001)","(0.029, 0.003)","(0.0, 0.0)","(493652.656, 419170543025.012)"
1:0,2,20 - 70,min-max,36500,"(0.12, 0.016)","(0.09, 0.01)","(0.103, 0.013)","(0.08, 0.006)","(1144382.171, 1659197961335.733)"
1:0,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(293883.316, 15236013613.276)"
1:0,2,60 - 70,min-max,36500,"(0.249, 0.019)","(0.116, 0.002)","(0.156, 0.004)","(0.129, 0.005)","(2403.17, 301669.344)"
1:0,2,0 - 20,min-max,36500,"(0.083, 0.021)","(0.024, 0.002)","(0.037, 0.004)","(0.037, 0.004)","(47337.607, 107787525.409)"
1:0,2,70 - 100,min-max,36500,"(0.122, 0.011)","(0.048, 0.002)","(0.068, 0.004)","(0.068, 0.004)","(799354.755, 33230060580.868)"
1:0,3,0 - 100,min-max,36500,"(0.093, 0.007)","(0.048, 0.002)","(0.062, 0.003)","(0.062, 0.003)","(1031014.894, 2469773101772.558)"
1:0,3,20 - 70,min-max,36500,"(0.124, 0.019)","(0.086, 0.009)","(0.102, 0.013)","(0.054, 0.002)","(636726.184, 248063631290.861)"
1:0,3,20 - 60,min-max,36500,"(0.12, 0.016)","(0.046, 0.002)","(0.064, 0.003)","(0.029, 0.003)","(1912070.532, 6990664162014.466)"
1:0,3,60 - 70,min-max,36500,"(0.104, 0.01)","(0.068, 0.004)","(0.082, 0.006)","(0.057, 0.002)","(3380.315, 3197034.816)"
1:0,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(69767.686, 146977595.235)"
1:0,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2509445.208, 1364787233748.036)"
1:0.1,2,0 - 100,min-max,36500,"(0.042, 0.005)","(0.024, 0.002)","(0.03, 0.003)","(0.03, 0.003)","(10.222, 4.703)"
1:0.1,2,20 - 70,min-max,36500,"(0.222, 0.065)","(0.048, 0.002)","(0.075, 0.004)","(0.075, 0.004)","(6.666, 0.6)"
1:0.1,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.219, 1.743)"
1:0.1,2,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.993, 0.062)"
1:0.1,2,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.709, 0.0)"
1:0.1,2,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.714, 0.0)"
1:0.1,3,0 - 100,min-max,36500,"(0.55, 0.158)","(0.089, 0.001)","(0.143, 0.002)","(0.035, 0.004)","(9.487, 0.153)"
1:0.1,3,20 - 70,min-max,36500,"(0.067, 0.013)","(0.022, 0.001)","(0.033, 0.003)","(0.0, 0.0)","(8.969, 9.481)"
1:0.1,3,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(4.313, 0.51)"
1:0.1,3,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.59, 0.052)"
1:0.1,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.712, 0.0)"
1:0.1,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.713, 0.0)"
1:1,2,0 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.627, 0.027)"
1:1,2,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.446, 0.019)"
1:1,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.429, 0.034)"
1:1,2,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.893, 0.002)"
1:1,2,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.721, 0.0)"
1:1,2,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.706, 0.0)"
1:1,3,0 - 100,min-max,36500,"(0.222, 0.148)","(0.044, 0.006)","(0.074, 0.016)","(0.039, 0.005)","(3.501, 0.002)"
1:1,3,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.735, 0.006)"
1:1,3,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.71, 0.148)"
1:1,3,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.878, 0.007)"
1:1,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.724, 0.0)"
1:1,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.705, 0.0)"
1:10,2,0 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(3.259, 0.023)"
1:10,2,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.206, 0.022)"
1:10,2,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.369, 0.04)"
1:10,2,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.924, 0.006)"
1:10,2,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.714, 0.0)"
1:10,2,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.0)"
1:10,3,0 - 100,min-max,36500,"(0.222, 0.148)","(0.044, 0.006)","(0.074, 0.016)","(0.039, 0.005)","(3.14, 0.003)"
1:10,3,20 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.491, 0.017)"
1:10,3,20 - 60,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.609, 0.086)"
1:10,3,60 - 70,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.926, 0.007)"
1:10,3,0 - 20,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.721, 0.0)"
1:10,3,70 - 100,min-max,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.0)"
1:0,2,0 - 100,power,36500,"(0.195, 0.007)","(0.131, 0.003)","(0.156, 0.005)","(0.083, 0.0)","(104872.042, 9619402390.769)"
1:0,2,20 - 70,power,36500,"(0.194, 0.016)","(0.113, 0.001)","(0.139, 0.003)","(0.085, 0.0)","(71059.652, 10037305543.391)"
1:0,2,20 - 60,power,36500,"(0.117, 0.016)","(0.048, 0.002)","(0.065, 0.003)","(0.065, 0.003)","(79426.228, 1155683535.162)"
1:0,2,60 - 70,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(224.963, 440.663)"
1:0,2,0 - 20,power,36500,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(393744001.76, 2.6601651788710074e+17)"
